scen_id,sens_type,name,v_soc_dist,soc_dist,r0,d_r,d_e,v_per_d,d_c,n_cj,n_cv,n_vj,scrn_sympt,diff_ppe_v,diff_ppe_c
1,base,base,soc_dist_0.6,soc_dist_0.6,2,5,4,150,10,5,1,0,FALSE,1,1
2,max,screening,soc_dist_0.6,soc_dist_0.6,2,5,4,150,10,5,1,0,TRUE,1,1
3,min,r0,soc_dist_0.6,soc_dist_0.6,1.8,5,4,150,10,5,1,0,FALSE,1,1
4,max,r0,soc_dist_0.6,soc_dist_0.6,2.2,5,4,150,10,5,1,0,FALSE,1,1
5,na,r0_screening,soc_dist_0.6,soc_dist_0.6,1.8,5,4,150,10,5,1,0,TRUE,1,1
6,na,r0_screening,soc_dist_0.6,soc_dist_0.6,2.2,5,4,150,10,5,1,0,TRUE,1,1
7,na,v_hi_contact,soc_dist_0.7,soc_dist_0.6,2,5,4,150,10,5,1,0,FALSE,1,1
8,max,v_hi_contact,soc_dist_0.8,soc_dist_0.6,2,5,4,150,10,5,1,0,FALSE,1,1
9,min,v_per_d,soc_dist_0.6,soc_dist_0.6,2,5,4,75,10,5,1,0,FALSE,1,1
10,max,v_per_d,soc_dist_0.6,soc_dist_0.6,2,5,4,300,10,5,1,0,FALSE,1,1
11,min,d_c_fixed_tot_v,soc_dist_0.6,soc_dist_0.6,2,5,4,300,5,5,1,0,FALSE,1,1
12,max,d_c_fixed_tot_v,soc_dist_0.6,soc_dist_0.6,2,5,4,75,20,5,1,0,FALSE,1,1
13,min,d_r,soc_dist_0.6,soc_dist_0.6,2,3,4,150,10,5,1,0,FALSE,1,1
14,max,d_r,soc_dist_0.6,soc_dist_0.6,2,7,4,150,10,5,1,0,FALSE,1,1
15,min,n_cj,soc_dist_0.6,soc_dist_0.6,2,5,4,150,10,1,1,0,FALSE,1,1
16,max,n_cj,soc_dist_0.6,soc_dist_0.6,2,5,4,150,10,10,1,0,FALSE,1,1
17,max,n_cv,soc_dist_0.6,soc_dist_0.6,2,5,4,150,10,5,2,0,FALSE,1,1
18,max,dif_ppe,soc_dist_0.6,soc_dist_0.6,2,5,4,150,10,5,1,0,FALSE,0.5,1
19,min,dif_ppe,soc_dist_0.6,soc_dist_0.6,2,5,4,150,10,5,1,0,FALSE,1,0.5
20,na,n_vj,soc_dist_0.6,soc_dist_0.6,2,5,4,100,10,0,1,0,FALSE,1,1
21,na,n_vj,soc_dist_0.6,soc_dist_0.6,2,5,4,100,10,0,1,2,FALSE,1,1
22,max,house-to-house,soc_dist_0.6,soc_dist_0.6,2,5,4,75,10,0,1,1,FALSE,1,1
23,na,house-to-house,soc_dist_0.6,soc_dist_0.6,1.8,5,4,75,10,0,1,1,FALSE,1,1
24,na,house-to-house,soc_dist_0.6,soc_dist_0.6,2.2,5,4,75,10,0,1,1,FALSE,1,1
25,na,house-to-house,soc_dist_0.6,soc_dist_0.6,2,5,4,75,10,0,1,1,TRUE,1,1
26,na,house-to-house,soc_dist_0.6,soc_dist_0.6,1.8,5,4,75,10,0,1,1,TRUE,1,1
27,na,house-to-house,soc_dist_0.6,soc_dist_0.6,2.2,5,4,75,10,0,1,1,TRUE,1,1
28,min,d_e,soc_dist_0.6,soc_dist_0.6,2,5,2,150,10,5,1,0,FALSE,1,1
29,max,d_e,soc_dist_0.6,soc_dist_0.6,2,5,6,150,10,5,1,0,FALSE,1,1
30,min,d_c_fixed_vpd,soc_dist_0.6,soc_dist_0.6,2,5,4,150,5,5,1,0,FALSE,1,1
31,max,d_c_fixed_vpd,soc_dist_0.6,soc_dist_0.6,2,5,4,150,20,5,1,0,FALSE,1,1